Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Nathaniel Adjei,GHA,Lorient,20,2002,13.8,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,,Defender,Ligue 1
Amine Adli,MAR,Leverkusen,23,2000,10.0,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,6,2.3,2.9,+3.7,21,19,18,3,39,Forward,Midfielder,Bundesliga
Yacine Adli,FRA,Milan,23,2000,15.6,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,,Midfielder,Serie A
Adryelson,BRA,Lyon,25,1998,0.1,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Forward,Defender,Ligue 1
Adson,BRA,Nantes,22,2000,2.6,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15,Forward,Midfielder,Ligue 1
Michel Aebischer,SUI,Bologna,26,1997,24.8,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,,Midfielder,Serie A
Emmanuel Agbadou,CIV,Reims,26,1997,28.8,1599,1838,87.0,32774,10984,476,525,90.7,855,926,92.3,240,343,70.0,1,1.5,1.6,-0.5,12,172,5,1,179,,Defender,Ligue 1
Julen Agirrezabala,ESP,Athletic Club,22,2000,2.6,67,100,67.0,1906,1648,19,19,100.0,27,27,100.0,21,53,39.6,0,0.0,0.0,0.0,0,2,0,0,0,,Goalkeeper,La Liga
Lucien Agoume,FRA,Inter,21,2002,0.1,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Midfielder,Serie A
Lucien Agoume,FRA,Sevilla,21,2002,8.6,301,360,83.6,5285,1424,141,163,86.5,120,135,88.9,31,42,73.8,0,0.6,0.3,-0.6,9,36,5,1,35,,Midfielder,La Liga
Felix Agu,GER,Werder Bremen,23,1999,17.9,488,669,72.9,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,0,0.6,1.4,-0.6,7,18,16,7,32,Midfielder,Defender,Bundesliga
