Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Christopher Antwi-Adjei,GHA,Bochum,29,1994,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Midfielder,Forward,Bundesliga
Houssem Aouar,ALG,Roma,25,1998,8.4,4,12,7,58.3,1.43,0.83,0.33,0.57,13.3,0,0,0,2.3,2.3,0.19,+1.7,+1.7,Forward,Midfielder,Serie A
Stredair Appuah,FRA,Nantes,19,2004,0.9,0,4,0,0.0,4.29,0.00,0.00,0,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Midfielder,Forward,Ligue 1
Mauro Arambarri,URU,Getafe,27,1995,3.8,0,9,2,22.2,2.39,0.53,0.00,0.00,21.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,,Midfielder,La Liga
Jon Aramburu,VEN,Real Sociedad,21,2002,6.0,0,4,0,0.0,0.66,0.00,0.00,0,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,,Defender,La Liga
Asaf Arania,ISR,Darmstadt 98,17,2005,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Bundesliga
Julian Araujo,MEX,Las Palmas,21,2001,16.2,1,7,2,28.6,0.43,0.12,0.14,0.50,20.5,0,0,0,0.7,0.7,0.10,+0.3,+0.3,,Defender,La Liga
Ronald Araújo,URU,Barcelona,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,12.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1,,Defender,La Liga
Oliver Arblaster,ENG,Sheffield Utd,19,2004,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,,Midfielder,Premier League
Cameron Archer,ENG,Sheffield Utd,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.10,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,Midfielder,Forward,Premier League
Cameron Archer,ENG,Aston Villa,22,2001,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Premier League
Alphonse Areola,FRA,West Ham,30,1993,30.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Premier League
Adu Ares,ESP,Athletic Club,21,2001,2.9,0,4,0,0.0,1.36,0.00,0.00,0,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Forward,La Liga
Jesús Areso,ESP,Osasuna,24,1999,29.6,1,9,2,22.2,0.30,0.07,0.11,0.50,27.1,0,0,0,0.2,0.2,0.02,+0.8,+0.8,,Defender,La Liga
Simone Aresti,ITA,Cagliari,37,1986,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
